Name;Order;Portrait;Country;Flag;Gender;Flights;Total Flights;Total Flight Time (ddd:hh:mm)s
Tracy Caldwell Dyson;470;https://cdn.sanity.io/images/2vtv415l/production/738effd3355f2263339a4bb9a75c8c8b4d481633-1024x1280.jpg;United States;🇺🇸;Woman;STS-118 (2007), Soyuz TMA-18 (2010);2;188:19:15
Barbara Morgan;471;https://cdn.sanity.io/images/2vtv415l/production/d2ce9df2fb0de5f72035f2be5334ded16baa94b7-2400x3000.jpg;United States;🇺🇸;Woman;STS-118 (2007);1;012:17:56
Yi So-yeon;486;https://cdn.sanity.io/images/2vtv415l/production/fbc9d8e32203d8cdee191461ce00abf314ae5cfd-1091x1455.jpg;South Korea;🇰🇷;Woman;Soyuz TMA-12 (2008);1;010:21:13
Karen Nyberg;488;https://cdn.sanity.io/images/2vtv415l/production/1e46a8bcf543337903bc7e3f419890cd2dac7745-2434x3090.jpg;United States;🇺🇸;Woman;STS-124 (2008), Soyuz TMA-09M (2013);2;180:00:30
K. Megan McArthur;505;https://cdn.sanity.io/images/2vtv415l/production/e21ff25460b4403d29a42130f10c08c529fd3c5d-2400x3000.jpg;United States;🇺🇸;Woman;STS-125 (2009), SpaceX Crew-2 (2021);2;334:22:28
Nicole Marie Passonno Stott;514;https://cdn.sanity.io/images/2vtv415l/production/a0171d82a02fd05ca50833bfbb215653e017dd90-1024x1280.jpg;United States;🇺🇸;Woman;STS-128 (2009), STS-133 (2011);2;026:15:58
Dorothy Metcalf-Lindenburger;525;https://cdn.sanity.io/images/2vtv415l/production/3ec2f0b08c2b544ba5c008f325168650ce2bfda2-3200x4000.jpg;United States;🇺🇸;Woman;STS-131 (2010);1;015:02:47
Naoko Yamazaki;526;https://cdn.sanity.io/images/2vtv415l/production/7da76a64261f4a46b34d9749d3152b076b1b7e89-5412x7216.jpg;Japan;🇯🇵;Woman;STS-131 (2010);1;015:02:47
Shannon Walker;527;https://cdn.sanity.io/images/2vtv415l/production/8504f961ae692a3007ab5d73ecfea45d33096c1d-630x786.jpg;United States;🇺🇸;Woman;Soyuz TMA-19 (2010), SpaceX Crew-1 (2020);2;330:13:40
Liu Yang;537;https://cdn.sanity.io/images/2vtv415l/production/38b491c32698557b82622737e63b38e8d07b2b67-450x433.jpg;China;🇨🇳;Woman;Shenzhou 9 (2012);1;012:15:23
Yelena Serova;549;https://cdn.sanity.io/images/2vtv415l/production/465f4141ce893e467223b71b769e20ad29f77ea4-1249x1993.jpg;Russia;🇷🇺;Woman;Soyuz TMA-14M (2014);1;167:05:42
Samantha Cristoforetti;550;https://cdn.sanity.io/images/2vtv415l/production/4363fa5425c5ff4fc9e2398f809a87a90d1deba2-1365x2048.jpg;Italy;🇮🇹;Woman;Soyuz TMA-15M (2014);1;199:16:42
Kathleen Rubins;558;https://cdn.sanity.io/images/2vtv415l/production/1f815f31366099521110dde02e5d930d74a43255-800x1000.jpg;United States;🇺🇸;Woman;Soyuz MS-01 (2016), Soyuz MS-17 (2020);2;300:01:31
Serena Auñón-Chancellor;567;https://cdn.sanity.io/images/2vtv415l/production/bc2ffe44c419306f5051c79f207bb78df79f6c99-2400x3000.jpg;United States;🇺🇸;Woman;Soyuz MS-09 (2018);1;196:12:43
Anne McClain;570;https://cdn.sanity.io/images/2vtv415l/production/6eb13bc1f54625ea91f7aec8a45dbb8bd6402cdb-3000x4000.jpg;United States;🇺🇸;Woman;Soyuz MS-11 (2018);1;203:15:16
Christina Koch;575;https://cdn.sanity.io/images/2vtv415l/production/69ce60cf0c1db691280f8e0eed2eeb75eeeac152-5873x7342.jpg;United States;🇺🇸;Woman;Soyuz MS-12 (2019);1;328:13:58
Jessica Meir;577;https://cdn.sanity.io/images/2vtv415l/production/bdd66e5a5f956874ebc8215210d4a75509f2ee1c-6876x8595.jpg;United States;🇺🇸;Woman;Soyuz MS-15 (2019);1;204:15:19
